,Nominal_Load,Heat_Load,Temperature,Weighted_Temperature,Geothermal_Temperature
2010-01-01 00:30:00+01:00,0.555544118,18.3645571,5.3,1.477016743,11
2010-01-01 01:30:00+01:00,0.532521184,17.51829785,5.7,1.551788432,11
2010-01-01 02:30:00+01:00,0.515836498,16.98949825,6.6,1.637747336,11
2010-01-01 03:30:00+01:00,0.496950564,16.46969572,6.1,1.748325723,11
2010-01-01 04:30:00+01:00,0.49970464,16.54057806,6.3,1.845395738,11
2010-01-01 05:30:00+01:00,0.533992972,17.56826042,6,1.948059361,11
2010-01-01 06:30:00+01:00,0.567404809,18.85632665,6.4,2.042770167,11
2010-01-01 07:30:00+01:00,0.588648716,19.83614444,6.4,2.147983257,11
2010-01-01 08:30:00+01:00,0.604721452,20.66379855,6.4,2.252473364,11
2010-01-01 09:30:00+01:00,0.618881066,21.45516575,6.8,2.356240487,11
2010-01-01 10:30:00+01:00,0.611621554,21.04215649,6.7,2.470053272,11
2010-01-01 11:30:00+01:00,0.593936619,20.10016731,6.5,2.580479452,11
2010-01-01 12:30:00+01:00,0.580024939,19.42286487,7,2.685083714,11
2010-01-01 13:30:00+01:00,0.567028455,18.84012184,7.2,2.803082192,11
2010-01-01 14:30:00+01:00,0.550428395,18.16435676,7.3,2.926217656,11
2010-01-01 15:30:00+01:00,0.538922911,17.73965432,6.6,3.051674277,11
2010-01-01 16:30:00+01:00,0.543146378,17.89149654,6.1,3.157724505,11
2010-01-01 17:30:00+01:00,0.554873373,18.33790337,6,3.249885845,11
2010-01-01 18:30:00+01:00,0.573189604,19.11041502,5.9,3.338964992,11
2010-01-01 19:30:00+01:00,0.583904674,19.60614874,6.2,3.424467275,11
2010-01-01 20:30:00+01:00,0.587820857,19.79554172,5.9,3.517161339,11
2010-01-01 21:30:00+01:00,0.583990753,19.61026423,5.8,3.600761035,11
2010-01-01 22:30:00+01:00,0.565876009,18.79074708,5.7,3.680745814,11
2010-01-01 23:30:00+01:00,0.527799674,17.3617063,4.4,3.756887367,11
2010-01-02 00:30:00+01:00,0.491420622,16.33220189,4.2,3.796689498,11
2010-01-02 01:30:00+01:00,0.471664827,15.890475,3.3,3.830136986,11
2010-01-02 02:30:00+01:00,0.454556167,15.56390572,3.4,3.838394216,11
2010-01-02 03:30:00+01:00,0.436598475,15.26812135,3.3,3.849086758,11
2010-01-02 04:30:00+01:00,0.440965599,15.33611164,3.8,3.856925419,11
2010-01-02 05:30:00+01:00,0.474559749,15.95062901,3.5,3.87804414,11
2010-01-02 06:30:00+01:00,0.504741979,16.67447923,4,3.8902207,11
2010-01-02 07:30:00+01:00,0.522632978,17.19669693,3.7,3.914840183,11
2010-01-02 08:30:00+01:00,0.537923003,17.70438549,4,3.929908676,11
2010-01-02 09:30:00+01:00,0.551561669,18.20809608,4.3,3.951750381,11
2010-01-02 10:30:00+01:00,0.544342091,17.93533446,4.7,3.980517504,11
2010-01-02 11:30:00+01:00,0.529494931,17.41728709,4.6,4.019368341,11
2010-01-02 12:30:00+01:00,0.518479438,17.06875869,4.6,4.055060883,11
2010-01-02 13:30:00+01:00,0.509159821,16.79654879,5,4.090791476,11
2010-01-02 14:30:00+01:00,0.495499727,16.43300412,4.8,4.137328767,11
2010-01-02 15:30:00+01:00,0.487031011,16.22752929,4.9,4.178158295,11
2010-01-02 16:30:00+01:00,0.493031441,16.37159606,4.7,4.221156773,11
2010-01-02 17:30:00+01:00,0.507067649,16.73819243,4.6,4.257762557,11
2010-01-02 18:30:00+01:00,0.528568198,17.38681433,4.9,4.290449011,11
2010-01-02 19:30:00+01:00,0.543897804,17.91900172,5,4.329984779,11
2010-01-02 20:30:00+01:00,0.552745102,18.25414129,5.4,4.370624049,11
2010-01-02 21:30:00+01:00,0.552450935,18.24266041,5.5,4.420167428,11
2010-01-02 22:30:00+01:00,0.536581055,17.6574582,5,4.470129376,11
2010-01-02 23:30:00+01:00,0.502539643,16.61525312,5.2,4.504452055,11
2010-01-03 00:30:00+01:00,0.469101703,15.83845002,4.5,4.542237443,11
2010-01-03 01:30:00+01:00,0.450657152,15.49590017,4.8,4.559094368,11
2010-01-03 02:30:00+01:00,0.432736948,15.20992293,5.1,4.582229833,11
2010-01-03 03:30:00+01:00,0.414018822,14.95019375,4.8,4.61152968,11
2010-01-03 04:30:00+01:00,0.417765773,14.99951113,4.4,4.630707763,11
2010-01-03 05:30:00+01:00,0.450412275,15.49170294,3.9,4.637252664,11
2010-01-03 06:30:00+01:00,0.479061244,16.04718683,4,4.628614916,11
2010-01-03 07:30:00+01:00,0.495607087,16.43570404,4.2,4.621423135,11
2010-01-03 08:30:00+01:00,0.509758707,16.81343634,4.9,4.618150685,11
2010-01-03 09:30:00+01:00,0.521932756,17.17483665,5.8,4.632229833,11
2010-01-03 10:30:00+01:00,0.512980101,16.905686,6.7,4.669025875,11
2010-01-03 11:30:00+01:00,0.497228201,16.47676791,7.5,4.728386606,11
2010-01-03 12:30:00+01:00,0.484320113,16.164806,7.7,4.807990868,11
